Number of scans,Number of scans before first consumer scan,Number of owners,Days since last scan,Days since manufactured,Days from manufactured to first scan,Days from manufactured to market release,Number of countries,Distance from selling point,Online selling,EU manufactured,Matching market and sale country,EU entry point,Days to expire,EU entry transport,Medicine category,Pack size,Pack type,Brand,Inspected?,Alert,Country Stamp,Suspicious level month stamp,Suspicious level year stamp,Suspicious level country stamp
13,7,6,4,5,0,0,0,2150,0,0,0,23,77,Mail/Courier,Hormones,12 or less doses,Box,9,0,0,14,Jul,2018,0
19,16,9,83,102,6,6,2,1672,0,0,0,21,155,Road,Genito-urinary,13 to 28 doses,Bag,3,0,0,17,Dec,2020,0
28,19,2,10,12,0,0,12,3533,0,0,0,7,211,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,3,0,0,15,Jul,2019,0
19,16,9,98,125,27,26,0,2651,0,0,0,23,4,Sea,Anti-infective,more than 28 doses,Bottle,7,1,0,4,Mar,2019,0
26,13,5,69,88,3,2,0,649,0,0,0,3,2,Sea,CNS,12 or less doses,Bottle,1,0,0,27,Sep,2018,0
29,16,4,97,213,87,70,13,2734,0,0,0,24,204,Sea,Genito-urinary,12 or less doses,Bottle,5,1,0,3,Jul,2020,0
20,17,1,30,34,3,3,10,2138,0,0,0,18,218,Mail/Courier,Hormones,12 or less doses,Bag,7,0,0,12,Apr,2019,0
20,13,3,97,213,10,10,4,4516,0,0,0,19,283,Air,CNS,more than 28 doses,Box,6,0,0,9,Dec,2020,0
23,19,5,32,41,3,2,2,1845,0,0,0,18,38,Road,Anti-infective,13 to 28 doses,Bottle,9,0,0,14,Nov,2018,0
20,13,5,94,108,5,5,4,1804,0,0,0,23,281,Sea,Cytostatic,13 to 28 doses,Bottle,7,0,0,2,Aug,2019,0
7,4,3,98,216,10,10,12,209,0,0,0,26,9,Sea,Genito-urinary,more than 28 doses,Bag,7,0,0,19,May,2021,0
32,18,8,49,108,27,16,5,4238,0,0,0,10,303,Sea,Hormones,12 or less doses,Box,3,1,0,24,Apr,2018,0
20,13,1,51,63,5,5,12,3476,0,0,0,10,231,Road,Genito-urinary,13 to 28 doses,Bag,1,0,0,14,Aug,2018,0
27,18,3,18,28,4,2,14,4950,0,0,0,8,216,Road,Cytostatic,12 or less doses,Box,1,0,0,21,Jan,2020,0
26,17,9,98,113,9,9,6,3621,0,0,0,21,285,Road,Cytostatic,12 or less doses,Box,8,0,0,8,Apr,2019,0
13,7,2,45,52,6,5,11,2584,0,0,0,17,195,Air,Hormones,13 to 28 doses,Box,1,0,0,28,Apr,2018,0
11,9,9,13,16,3,3,11,1506,0,0,0,22,330,Air,CNS,more than 28 doses,Box,5,0,0,12,Nov,2020,0
2,1,4,21,26,1,1,3,4541,0,0,0,12,205,Road,Hormones,more than 28 doses,Bag,5,0,0,15,Dec,2021,0
22,15,2,4,5,0,0,9,3522,0,0,0,11,290,Sea,Hormones,12 or less doses,Bottle,5,0,0,22,Dec,2020,0
1,1,6,114,140,26,25,11,4430,0,0,0,8,318,Sea,Anti-infective,more than 28 doses,Box,2,0,0,15,May,2020,0
17,14,7,106,136,26,21,3,1084,0,0,0,2,280,Mail/Courier,Anti-infective,more than 28 doses,Bag,0,0,0,16,Mar,2020,0
13,7,9,93,107,11,9,12,1939,0,0,0,21,209,Air,CNS,13 to 28 doses,Box,1,1,0,18,May,2019,0
32,16,2,116,157,15,12,8,362,0,0,0,19,170,Road,Hormones,12 or less doses,Bag,7,0,0,24,May,2019,0
32,16,2,31,38,5,3,3,4713,0,0,0,26,33,Sea,Genito-urinary,12 or less doses,Box,2,0,0,23,Mar,2020,0
12,8,2,22,48,4,4,11,3403,0,0,0,19,114,Air,Genito-urinary,12 or less doses,Box,7,0,0,11,Mar,2021,0
23,13,6,97,131,26,21,11,3568,0,0,0,22,237,Sea,Genito-urinary,more than 28 doses,Bottle,9,1,0,15,Sep,2021,0
26,17,7,109,169,34,32,1,349,0,0,0,10,127,Road,Genito-urinary,more than 28 doses,Box,5,0,0,13,Jan,2021,0
18,15,5,40,46,0,0,8,3653,0,0,0,16,343,Road,Cytostatic,more than 28 doses,Bag,9,0,0,21,Sep,2018,0
14,9,8,117,158,31,25,0,666,0,0,0,23,246,Air,Genito-urinary,12 or less doses,Box,4,0,0,13,May,2019,0
23,13,9,13,29,3,2,2,2541,0,0,0,16,325,Mail/Courier,Genito-urinary,more than 28 doses,Bag,2,0,0,14,Aug,2018,0
20,11,2,93,119,21,20,4,2527,0,0,0,17,356,Air,Cytostatic,13 to 28 doses,Box,9,0,0,21,Jul,2019,0
13,7,9,82,101,15,14,3,531,0,0,0,20,107,Road,Anti-infective,12 or less doses,Bottle,7,0,0,27,Nov,2019,0
34,17,9,75,116,22,21,13,944,0,0,0,14,13,Mail/Courier,Hormones,13 to 28 doses,Bottle,4,0,0,2,May,2020,0
11,6,9,6,7,0,0,11,4612,0,0,0,18,71,Road,Cytostatic,more than 28 doses,Bag,3,1,0,24,May,2020,0
17,14,9,59,73,0,0,0,304,0,0,0,6,181,Air,Hormones,13 to 28 doses,Bag,7,0,0,11,Nov,2021,0
32,16,7,55,63,8,6,11,372,0,0,0,18,333,Sea,Hormones,more than 28 doses,Box,8,0,0,17,Nov,2021,0
18,9,6,54,69,7,7,5,57,0,0,0,1,2,Air,CNS,12 or less doses,Bag,5,0,0,26,Jan,2020,0
15,10,1,30,46,13,12,3,4433,0,0,0,22,73,Road,Cytostatic,13 to 28 doses,Box,1,0,0,26,Apr,2021,0
4,2,3,28,38,9,9,3,3903,0,0,0,2,234,Sea,CNS,12 or less doses,Bottle,8,0,0,4,Nov,2019,0
6,4,1,67,82,4,2,4,600,0,0,0,11,248,Air,Cytostatic,12 or less doses,Bag,5,0,0,3,Nov,2018,0
8,7,7,44,54,10,10,3,1928,0,0,0,28,63,Sea,CNS,more than 28 doses,Bottle,7,0,0,15,Jul,2019,0
2,1,1,88,101,6,4,6,2802,0,0,0,19,134,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,9,0,0,14,Nov,2019,0
14,12,3,118,151,0,0,10,2893,0,0,0,8,47,Air,CNS,more than 28 doses,Bag,9,0,0,19,Dec,2019,0
8,7,4,107,132,0,0,3,4901,0,0,0,28,90,Mail/Courier,CNS,12 or less doses,Bag,2,0,0,1,Jul,2020,0
20,17,7,96,118,20,16,14,2543,0,0,0,5,284,Mail/Courier,Genito-urinary,13 to 28 doses,Bag,0,0,0,10,Jul,2018,0
8,7,3,56,69,5,3,3,1478,0,0,0,8,218,Mail/Courier,CNS,13 to 28 doses,Bottle,2,0,0,18,May,2018,0
10,7,9,14,18,3,3,5,2646,0,0,0,6,237,Road,Anti-infective,13 to 28 doses,Bottle,2,0,0,12,Mar,2020,0
16,11,2,16,20,3,2,2,3027,0,0,0,28,321,Sea,CNS,12 or less doses,Bottle,9,0,0,15,Dec,2020,0
16,8,3,49,60,1,1,2,1691,0,0,0,6,65,Air,Anti-infective,12 or less doses,Bag,2,0,0,17,Sep,2019,0
2,2,4,101,129,23,18,10,2207,0,0,0,7,343,Road,Anti-infective,12 or less doses,Bottle,0,0,0,20,Mar,2021,0
4,3,9,117,144,1,1,2,3071,0,0,0,25,197,Sea,Anti-infective,more than 28 doses,Bottle,1,0,0,14,May,2019,0
1,1,2,37,43,3,2,1,1608,0,0,0,20,148,Air,Genito-urinary,12 or less doses,Box,5,1,0,24,May,2019,0
25,14,6,4,5,0,0,0,3076,0,0,0,21,233,Mail/Courier,Genito-urinary,13 to 28 doses,Bottle,5,0,0,11,Jan,2018,0
6,4,4,30,38,8,8,5,1729,0,0,0,6,354,Road,Genito-urinary,12 or less doses,Bottle,1,0,0,23,Jul,2020,0
2,1,6,35,43,1,1,3,479,0,0,0,23,58,Air,Anti-infective,13 to 28 doses,Box,1,0,0,20,Aug,2021,0
1,1,6,90,103,5,5,6,4587,0,0,0,6,336,Sea,CNS,more than 28 doses,Bottle,5,0,0,16,Jan,2021,0
10,7,4,115,147,11,7,3,556,0,0,0,27,50,Sea,Hormones,more than 28 doses,Bottle,9,0,0,1,Dec,2019,0
8,5,8,72,92,18,14,8,3198,0,0,0,15,225,Mail/Courier,Hormones,12 or less doses,Box,7,0,0,12,May,2021,0
2,1,9,90,122,22,18,5,2452,0,0,0,16,106,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,4,0,0,28,Jul,2019,0
8,4,8,4,5,0,0,6,3644,0,0,0,1,100,Mail/Courier,Hormones,13 to 28 doses,Bag,1,1,0,4,Feb,2018,0
14,7,6,104,128,1,1,1,4116,0,0,0,2,114,Sea,Genito-urinary,12 or less doses,Bottle,5,0,0,15,Sep,2018,0
10,8,6,14,18,1,1,2,4363,0,0,0,28,311,Road,CNS,13 to 28 doses,Bottle,1,0,0,4,Jan,2021,0
20,17,8,78,100,21,20,10,4074,0,0,0,27,63,Mail/Courier,Anti-infective,more than 28 doses,Box,8,0,0,7,Mar,2020,0
8,5,5,12,15,2,2,13,74,0,0,0,14,0,Mail/Courier,Hormones,more than 28 doses,Box,6,0,0,3,Jul,2021,0
32,16,1,18,21,3,2,12,589,0,0,0,28,363,Mail/Courier,Anti-infective,13 to 28 doses,Bag,8,1,0,25,Aug,2021,0
17,14,8,61,82,9,5,3,300,0,0,0,4,123,Mail/Courier,Genito-urinary,13 to 28 doses,Bottle,4,0,0,19,Jul,2020,0
12,8,1,80,108,13,12,7,780,0,0,0,9,49,Air,Hormones,more than 28 doses,Bottle,1,0,0,10,Aug,2020,0
15,10,8,104,229,7,4,14,4720,0,0,0,13,343,Road,Hormones,more than 28 doses,Bottle,1,0,0,9,Mar,2021,0
13,11,7,42,57,8,8,1,3542,0,0,0,27,310,Air,Genito-urinary,more than 28 doses,Bottle,1,0,0,19,Oct,2018,0
27,15,7,51,63,11,9,6,1226,0,0,0,6,190,Road,Anti-infective,more than 28 doses,Bag,4,0,0,28,Sep,2021,0
22,18,1,34,42,3,3,3,4117,0,0,0,5,246,Mail/Courier,Cytostatic,12 or less doses,Bag,2,0,0,5,Nov,2021,0
22,12,5,63,81,3,3,14,722,0,0,0,27,101,Road,Anti-infective,13 to 28 doses,Box,0,0,0,22,Aug,2019,0
10,8,8,95,128,30,28,13,218,0,0,0,28,322,Mail/Courier,Anti-infective,13 to 28 doses,Bag,2,0,0,26,Nov,2021,0
1,1,6,13,18,0,0,2,3523,0,0,0,10,258,Mail/Courier,Cytostatic,more than 28 doses,Bag,0,0,0,16,Apr,2019,0
13,7,3,116,255,3,3,5,2610,0,0,0,27,233,Air,Hormones,12 or less doses,Box,8,0,0,27,Jul,2020,0
18,10,9,91,123,22,21,7,1085,0,0,0,5,13,Mail/Courier,Anti-infective,more than 28 doses,Box,2,0,0,2,May,2020,0
13,11,3,87,111,9,5,14,3624,0,0,0,25,174,Sea,CNS,more than 28 doses,Bag,3,0,0,17,Jul,2020,0
9,6,3,71,87,1,1,10,4288,0,0,0,11,125,Road,Hormones,12 or less doses,Bag,7,0,0,28,Jul,2018,0
7,6,7,55,74,14,8,1,4452,0,0,0,8,163,Sea,Hormones,more than 28 doses,Box,6,1,0,10,Apr,2018,0
18,10,2,55,63,7,4,10,2886,0,0,0,6,275,Mail/Courier,Cytostatic,more than 28 doses,Bottle,3,0,0,1,Nov,2019,0
20,17,6,109,140,24,23,2,4794,0,0,0,22,226,Sea,Hormones,12 or less doses,Bag,6,0,0,21,Oct,2019,0
8,5,6,109,240,72,43,11,1773,0,0,0,10,246,Mail/Courier,CNS,12 or less doses,Box,8,0,0,28,Nov,2020,0
12,10,8,104,120,0,0,2,2301,0,0,0,7,163,Road,Anti-infective,13 to 28 doses,Bag,6,0,0,5,Mar,2018,0
10,7,1,16,18,1,1,4,2819,0,0,0,2,248,Sea,Genito-urinary,13 to 28 doses,Bottle,4,1,0,13,May,2021,0
24,12,4,86,106,6,4,5,2655,0,0,0,27,163,Road,Genito-urinary,12 or less doses,Box,8,0,0,22,Apr,2021,0
14,12,6,99,114,8,6,11,3487,0,0,0,25,201,Air,Anti-infective,12 or less doses,Bottle,8,0,0,18,Aug,2018,0
2,2,5,22,25,0,0,12,1029,0,0,0,4,146,Road,Hormones,12 or less doses,Bag,4,0,0,9,Sep,2020,0
22,18,8,15,18,0,0,13,176,0,0,0,24,267,Mail/Courier,Hormones,12 or less doses,Bottle,3,0,0,28,Dec,2021,0
17,14,1,86,110,21,20,7,215,0,0,0,23,363,Air,Cytostatic,12 or less doses,Bottle,0,0,0,21,Oct,2019,0
12,6,3,56,87,25,20,0,200,0,0,0,16,94,Road,Hormones,more than 28 doses,Bottle,5,0,0,11,Dec,2019,0
11,9,8,98,113,5,4,6,4039,0,0,0,20,171,Road,CNS,12 or less doses,Bottle,9,0,0,21,Feb,2021,0
8,5,4,20,23,0,0,11,1007,0,0,0,14,352,Sea,Cytostatic,more than 28 doses,Box,5,0,0,14,Dec,2018,0
6,5,6,74,100,11,10,6,3793,0,0,0,22,99,Road,Genito-urinary,13 to 28 doses,Bottle,5,0,0,1,Dec,2018,0
10,7,8,69,88,16,15,8,2015,0,0,0,1,301,Road,Genito-urinary,more than 28 doses,Bag,7,0,0,8,Jun,2021,0
22,15,5,43,49,3,3,10,3208,0,0,0,16,299,Air,CNS,13 to 28 doses,Bag,1,0,0,1,Aug,2019,0
21,14,4,101,124,23,18,12,538,0,0,0,10,198,Road,CNS,12 or less doses,Bag,1,0,0,9,Mar,2018,0
8,7,4,69,85,15,14,14,1819,0,0,0,25,113,Air,Hormones,more than 28 doses,Bag,7,0,0,28,Nov,2021,0
27,18,3,110,141,2,1,13,3761,0,0,0,11,201,Mail/Courier,Cytostatic,13 to 28 doses,Bag,8,1,0,15,Jul,2020,0
16,13,2,75,96,11,10,11,1820,0,0,0,22,21,Mail/Courier,Cytostatic,12 or less doses,Box,5,0,0,14,May,2021,0
8,7,3,44,59,6,6,13,806,0,0,0,27,134,Road,Anti-infective,13 to 28 doses,Bottle,6,0,0,13,Jul,2020,0
34,19,2,88,113,1,1,0,3860,0,0,0,16,242,Air,Hormones,12 or less doses,Box,0,0,0,14,Oct,2021,0
2,2,4,72,83,1,1,6,4104,0,0,0,1,171,Sea,Genito-urinary,12 or less doses,Box,0,1,0,21,Jun,2020,0
22,12,4,105,163,19,18,8,3131,0,0,0,1,145,Sea,CNS,13 to 28 doses,Bag,6,1,0,24,Apr,2019,0
10,8,5,117,257,111,67,7,4298,0,0,0,26,143,Sea,Cytostatic,12 or less doses,Box,4,1,0,12,Apr,2020,0
22,11,7,87,111,9,7,4,1907,0,0,0,21,242,Road,Genito-urinary,13 to 28 doses,Bag,6,0,0,17,Apr,2019,0
4,3,8,81,93,11,10,13,622,0,0,0,18,270,Sea,Genito-urinary,12 or less doses,Bag,9,0,0,17,Aug,2019,0
34,19,1,44,54,0,0,11,714,0,0,0,9,184,Air,Hormones,12 or less doses,Bottle,7,0,0,3,Jul,2021,0
38,19,2,75,101,22,13,6,3093,0,0,0,3,224,Air,Hormones,13 to 28 doses,Bag,5,0,0,3,Nov,2020,0
17,14,2,70,90,16,13,8,4320,0,0,0,9,247,Road,CNS,12 or less doses,Box,4,0,0,15,Aug,2020,0
20,17,7,13,18,0,0,12,1403,0,0,0,6,112,Mail/Courier,Cytostatic,13 to 28 doses,Bag,1,0,0,9,Aug,2018,0
27,18,7,46,53,2,2,13,3660,0,0,0,15,51,Sea,Genito-urinary,12 or less doses,Bag,9,0,0,14,Nov,2019,0
27,15,4,11,14,0,0,14,1703,0,0,0,13,353,Sea,Genito-urinary,more than 28 doses,Bottle,6,0,0,24,Oct,2018,0
2,2,7,84,108,12,11,4,425,0,0,0,5,169,Air,Anti-infective,more than 28 doses,Bottle,0,0,0,27,Jul,2019,0
18,10,1,39,45,0,0,0,4775,0,0,0,13,340,Mail/Courier,Anti-infective,12 or less doses,Box,2,0,0,20,Jan,2019,0
18,9,6,42,54,4,4,14,2833,0,0,0,17,62,Sea,Cytostatic,12 or less doses,Bottle,1,0,0,24,Apr,2019,0
20,10,5,13,20,5,3,13,1436,0,0,0,25,252,Road,Cytostatic,more than 28 doses,Bottle,5,0,0,13,Sep,2018,0
14,7,9,112,138,26,21,11,4654,0,0,0,19,217,Mail/Courier,Genito-urinary,more than 28 doses,Box,9,0,0,24,Dec,2019,0
12,10,3,72,97,17,16,2,4821,0,0,0,8,116,Road,Genito-urinary,more than 28 doses,Bag,8,0,0,12,Feb,2021,0
2,1,8,117,144,22,21,12,1690,0,0,0,18,20,Road,CNS,12 or less doses,Bottle,2,0,0,3,Aug,2018,0
7,6,3,99,153,20,16,11,2781,0,0,0,13,53,Mail/Courier,Hormones,more than 28 doses,Bag,5,0,0,8,May,2021,0
15,10,1,67,104,2,1,6,3749,0,0,0,1,26,Air,Hormones,12 or less doses,Bottle,8,0,0,28,Apr,2019,0
6,4,1,110,148,8,8,14,3550,0,0,0,9,32,Road,Anti-infective,12 or less doses,Bottle,7,0,0,8,Nov,2020,0
1,1,5,109,134,18,11,9,1956,0,0,0,13,151,Road,Anti-infective,12 or less doses,Box,6,0,0,9,May,2020,0
3,2,9,113,145,9,5,5,189,0,0,0,24,235,Sea,Hormones,13 to 28 doses,Bottle,3,0,0,21,Dec,2020,0
11,9,5,4,5,1,1,11,4706,0,0,0,24,341,Mail/Courier,CNS,12 or less doses,Bottle,1,1,0,10,Jul,2018,0
7,4,4,118,159,18,17,10,1269,0,0,0,1,91,Air,Cytostatic,12 or less doses,Box,2,0,0,23,Apr,2021,0
28,19,9,82,105,20,12,14,2995,0,0,0,25,300,Sea,Cytostatic,12 or less doses,Box,4,0,0,3,Apr,2021,0
3,2,1,40,49,7,7,7,1728,0,0,0,17,42,Mail/Courier,Hormones,13 to 28 doses,Bag,8,0,0,4,Nov,2019,0
19,16,8,55,74,11,9,2,1883,0,0,0,24,89,Road,Hormones,more than 28 doses,Box,3,0,0,25,Dec,2019,0
30,15,5,29,37,4,4,13,698,0,0,0,16,318,Air,Cytostatic,13 to 28 doses,Bag,8,1,0,5,Aug,2021,0
2,2,1,90,122,18,17,6,2164,0,0,0,22,141,Sea,Genito-urinary,13 to 28 doses,Box,1,0,0,23,Apr,2019,0
22,12,5,104,140,11,10,8,3172,0,0,0,15,260,Air,Cytostatic,more than 28 doses,Box,4,0,0,16,Sep,2021,0
16,13,2,104,133,21,13,14,2830,0,0,0,8,281,Sea,CNS,12 or less doses,Bottle,0,0,0,8,Jun,2019,0
13,11,7,90,140,27,26,10,2016,0,0,0,10,353,Road,Anti-infective,more than 28 doses,Bottle,4,0,0,21,May,2020,0
2,1,7,40,54,4,3,14,1328,0,0,0,3,79,Road,Anti-infective,more than 28 doses,Box,5,0,0,24,Jul,2021,0
16,13,9,44,56,7,7,12,1051,0,0,0,5,323,Air,Anti-infective,13 to 28 doses,Bag,9,0,0,9,Oct,2020,0
6,4,9,61,134,37,35,2,337,0,0,0,17,239,Sea,CNS,more than 28 doses,Bag,7,0,0,13,May,2018,0
2,2,9,73,84,5,5,10,3542,0,0,0,17,111,Road,Cytostatic,12 or less doses,Bottle,9,0,0,15,Dec,2018,0
4,2,5,81,93,6,5,13,2068,0,0,0,8,120,Mail/Courier,CNS,more than 28 doses,Box,6,1,0,8,May,2020,0
20,13,1,89,196,19,15,11,3596,0,0,0,23,232,Air,Genito-urinary,12 or less doses,Bag,8,0,0,3,Jul,2021,0
7,6,6,75,92,15,14,3,2761,0,0,0,16,98,Air,Anti-infective,more than 28 doses,Bottle,3,0,0,1,May,2021,0
25,14,9,53,72,15,9,9,2662,0,0,0,2,242,Sea,Anti-infective,13 to 28 doses,Bag,1,0,0,3,Jun,2021,0
27,15,9,111,150,26,16,11,3672,0,0,0,12,350,Mail/Courier,CNS,more than 28 doses,Bottle,6,0,0,23,Aug,2019,0
4,3,3,66,81,9,5,13,3339,0,0,0,22,293,Sea,Anti-infective,12 or less doses,Bag,6,0,0,23,Apr,2021,0
10,8,9,23,26,1,1,11,358,0,0,0,1,266,Mail/Courier,Hormones,12 or less doses,Bottle,4,0,0,10,Aug,2019,0
2,2,6,93,107,13,10,12,4692,0,0,0,12,318,Road,Genito-urinary,13 to 28 doses,Bottle,2,0,0,1,Nov,2018,0
12,10,7,72,83,11,10,10,3480,0,0,0,6,281,Air,Genito-urinary,13 to 28 doses,Bottle,0,0,0,13,Apr,2019,0
23,13,4,84,113,7,6,13,961,0,0,0,1,266,Sea,Hormones,13 to 28 doses,Box,0,1,0,7,Jul,2021,0
15,10,8,46,71,4,3,2,3194,0,0,0,15,76,Mail/Courier,CNS,13 to 28 doses,Bottle,4,0,0,9,Nov,2018,0
18,12,5,78,90,12,11,11,183,0,0,0,5,36,Sea,CNS,12 or less doses,Box,4,0,0,18,Jul,2021,0
29,16,9,3,4,0,0,8,4367,0,0,0,16,192,Sea,Anti-infective,12 or less doses,Bag,7,0,0,16,Feb,2018,0
9,6,7,91,123,14,13,1,3188,0,0,0,2,110,Road,Genito-urinary,more than 28 doses,Box,3,0,0,24,Dec,2020,0
2,1,1,10,12,0,0,10,2522,0,0,0,6,158,Air,Cytostatic,12 or less doses,Bottle,6,0,0,1,Apr,2021,0
2,1,6,84,113,9,7,4,2397,0,0,0,17,165,Mail/Courier,Genito-urinary,more than 28 doses,Bottle,6,0,0,13,Jul,2018,0
13,11,6,39,53,13,10,8,3898,0,0,0,3,39,Road,Cytostatic,13 to 28 doses,Bag,1,0,0,3,Jan,2021,0
22,15,6,93,126,4,4,10,4622,0,0,0,6,339,Air,CNS,more than 28 doses,Bottle,0,0,0,5,Aug,2020,0
13,11,8,61,82,15,9,14,733,0,0,0,7,53,Air,Anti-infective,13 to 28 doses,Box,7,1,0,26,May,2019,0
26,13,1,74,95,0,0,7,1907,0,0,0,7,150,Road,CNS,12 or less doses,Bottle,2,1,0,15,Sep,2019,0
10,8,6,96,211,66,53,11,492,0,0,0,23,189,Sea,Anti-infective,more than 28 doses,Bag,1,0,0,2,May,2021,0
20,13,3,17,23,5,4,5,4611,0,0,0,22,204,Mail/Courier,Cytostatic,13 to 28 doses,Bag,8,0,0,5,Aug,2019,0
5,4,8,75,116,38,36,1,4836,0,0,0,4,304,Mail/Courier,Hormones,more than 28 doses,Bottle,5,1,0,17,Jun,2020,0
22,18,8,71,96,17,14,4,551,0,0,0,25,92,Air,Anti-infective,more than 28 doses,Bag,2,0,0,19,Sep,2021,0
12,8,2,89,114,16,15,8,156,0,0,0,12,118,Road,Genito-urinary,more than 28 doses,Box,2,0,0,3,May,2019,0
16,13,6,103,127,19,18,9,4655,0,0,0,28,307,Mail/Courier,CNS,12 or less doses,Bag,2,0,0,10,Jan,2021,0
4,3,7,116,180,25,20,8,3744,0,0,0,15,24,Air,Hormones,more than 28 doses,Bottle,3,0,0,22,Oct,2018,0
18,12,8,84,113,12,7,13,2742,0,0,0,6,223,Road,Hormones,13 to 28 doses,Bag,8,1,0,3,Nov,2021,0
26,17,9,38,51,8,8,14,4261,0,0,0,26,30,Road,Cytostatic,12 or less doses,Box,4,0,0,7,Jan,2021,0
23,19,1,43,53,1,1,13,240,0,0,0,11,1,Road,Anti-infective,12 or less doses,Bag,2,0,0,21,Feb,2018,0
22,15,8,74,163,17,14,12,614,0,0,0,1,128,Mail/Courier,CNS,more than 28 doses,Bottle,5,0,0,9,Jul,2018,0
23,13,3,7,15,1,1,5,921,0,0,0,13,15,Sea,Anti-infective,more than 28 doses,Bottle,0,0,0,15,Aug,2021,0
34,19,7,77,104,26,25,1,2444,0,0,0,27,311,Mail/Courier,CNS,12 or less doses,Box,9,0,0,6,Sep,2018,0
1,1,9,55,85,5,4,2,4254,0,0,0,20,126,Road,Anti-infective,more than 28 doses,Bottle,0,0,0,24,Nov,2020,0
7,6,7,15,20,0,0,9,4418,0,0,0,10,106,Sea,Anti-infective,12 or less doses,Bottle,0,0,0,27,Sep,2019,0
22,18,4,17,37,11,10,3,3800,0,0,0,9,84,Mail/Courier,Anti-infective,12 or less doses,Bottle,5,0,0,12,Sep,2018,0
8,5,5,75,86,6,5,8,1542,0,0,0,26,256,Mail/Courier,Cytostatic,12 or less doses,Bottle,2,0,0,27,Aug,2018,0
12,10,2,105,121,16,15,2,834,0,0,0,18,319,Road,Hormones,13 to 28 doses,Bag,4,1,0,23,Jun,2019,0
16,13,4,12,26,2,2,12,2995,0,0,0,26,292,Mail/Courier,Hormones,12 or less doses,Bottle,0,0,0,24,Jun,2021,0
14,12,3,77,104,22,21,1,3284,0,0,0,1,26,Road,CNS,13 to 28 doses,Bag,5,0,0,17,Aug,2020,0
1,1,3,12,16,4,3,1,2419,0,0,0,5,192,Sea,Genito-urinary,more than 28 doses,Box,4,0,0,9,Mar,2021,0
32,18,5,96,118,11,7,11,3259,0,0,0,11,286,Mail/Courier,Hormones,13 to 28 doses,Bottle,1,0,0,18,Sep,2020,0
6,5,4,99,218,20,12,2,4817,0,0,0,4,6,Mail/Courier,Genito-urinary,12 or less doses,Bottle,3,0,0,2,Feb,2020,0
2,2,4,69,93,9,5,10,3967,0,0,0,25,248,Mail/Courier,Genito-urinary,more than 28 doses,Box,3,0,0,27,Jan,2019,0
14,9,8,80,92,8,8,12,2656,0,0,0,16,122,Mail/Courier,Cytostatic,more than 28 doses,Bottle,8,0,0,15,Sep,2021,0
18,12,4,69,88,10,8,0,3415,0,0,0,4,255,Sea,Anti-infective,13 to 28 doses,Box,1,0,0,17,Nov,2020,0
4,2,6,46,57,3,2,13,85,0,0,0,26,138,Sea,Hormones,12 or less doses,Bottle,4,0,0,22,May,2018,0
